Unnamed: 0.1,index,Unnamed: 0,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column,alpha,beta
17647,10410,19234,N#C[C@]1(CC2=CC=CC=C2)CCC3=CC(CCCN(C(C4=C5C=CC=C4)=O)C5=O)=CN=C31,33.319,1.0,0.05,10.1002/anie.202105452,ASH,1.1533056420906889,1.1704116968064642
17684,10445,19287,O=CC[C@@]1(C(C(=O)OCc2ccccc2)C(=O)OCc3ccccc3)C(=O)N(Cc4ccccc4)c5ccccc15,20.18,0.8,0.3,10.1002/chem.201300977,ASH,1.6704658077304262,1.817275747508306
17685,10445,19288,O=CC[C@]1(C(C(=O)OCc2ccccc2)C(=O)OCc3ccccc3)C(=O)N(Cc4ccccc4)c5ccccc15,33.71,0.8,0.3,10.1002/chem.201300977,ASH,1.6704658077304262,1.817275747508306
17728,10474,19338,COC(=O)C(C(=O)OC)[C@]1(CC=O)C(=O)N(Cc2ccccc2)c3ccccc13,20.72,0.8,0.3,10.1002/chem.201300977,ASH,1.6481660231660231,1.7856098274349226
17729,10474,19339,COC(=O)C(C(=O)OC)[C@@]1(CC=O)C(=O)N(Cc2ccccc2)c3ccccc13,34.15,0.8,0.3,10.1002/chem.201300977,ASH,1.6481660231660231,1.7856098274349226
17762,10496,19377,COC(=O)C(C(=O)OC)[C@]1(CC=O)C(=O)N(Cc2ccccc2)c3c(C)cccc13,21.74,0.8,0.3,10.1002/chem.201300977,ASH,1.5823367065317389,1.6988683411537402
17763,10496,19378,COC(=O)C(C(=O)OC)[C@@]1(CC=O)C(=O)N(Cc2ccccc2)c3c(C)cccc13,34.4,0.8,0.3,10.1002/chem.201300977,ASH,1.5823367065317389,1.6988683411537402
17764,10498,19380,CCCCC(=O)[C@H](C[N+]([O-])=O)c1ccccc1,31.1,0.5,0.03,10.1002/anie.201107473,ASH,1.1061093247588425,1.1304347826086956
17765,10498,19381,CCCCC(=O)[C@@H](C[N+]([O-])=O)c1ccccc1,34.4,0.5,0.03,10.1002/anie.201107473,ASH,1.1061093247588425,1.1304347826086956
17796,10516,19415,CCCC[C@@H](C=O)[C@H](NC(=O)OC(C)(C)C)c1ccc(Br)cc1,34.6,0.5,0.05,10.1002/anie.201107473,ASH,1.4421965317919074,1.53125
17797,10516,19414,CCCC[C@H](C=O)[C@H](NC(=O)OC(C)(C)C)c1ccc(Br)cc1,49.9,0.5,0.05,10.1002/anie.201107473,ASH,1.4421965317919074,1.53125
17824,10536,19448,COc1ccc2OCC[C@](C)(CI)c2c1,27.5,0.5,0.0,10.1021/jacs.9b04332,ASH,1.2654545454545454,1.336405529953917
17825,10536,19449,COc1ccc2OCC[C@@](C)(CI)c2c1,34.8,0.5,0.0,10.1021/jacs.9b04332,ASH,1.2654545454545454,1.336405529953917
17850,10552,19478,N#Cc1ccc(cc1)C#C[C@H]\2CCCCC\C=C2,34.9,0.8,0.01,10.1002/anie.202110233,ASH,1.1661891117478511,1.1854516386890488
17851,10552,19477,N#Cc1ccc(cc1)C#C[C@@H]\2CCCCC\C=C2,40.7,0.8,0.01,10.1002/anie.202110233,ASH,1.1661891117478511,1.1854516386890488
17956,10622,19601,C[C@]1(N[S](=O)(=O)Oc2ccccc12)c3ccccc3,36.0,0.5,0.2,10.1002/anie.201302861,ASH,1.5138888888888888,1.6125827814569538
17957,10622,19600,C[C@@]1(N[S](=O)(=O)Oc2ccccc12)c3ccccc3,54.5,0.5,0.2,10.1002/anie.201302861,ASH,1.5138888888888888,1.6125827814569538
18020,10656,19666,N#Cc1ccc(cc1)C#C[C@@H]2CCCCC=C2,33.2,0.5,0.05,10.1002/anie.202110233,ASH,1.1024096385542168,1.124087591240876
18021,10656,19667,N#Cc1ccc(cc1)C#C[C@H]2CCCCC=C2,36.6,0.5,0.05,10.1002/anie.202110233,ASH,1.1024096385542168,1.124087591240876
18040,10667,19687,COc1ccc(cc1)[C@H](C[C](C)=[C]2C(=O)O[C](C)(C)OC2=O)c3ccccc3,25.1,1.0,0.1,10.1039/C8CC00493E,ASH,1.4661354581673305,1.5270270270270268
18041,10667,19688,COc1ccc(cc1)[C@@H](C[C](C)=[C]2C(=O)O[C](C)(C)OC2=O)c3ccccc3,36.8,1.0,0.1,10.1039/C8CC00493E,ASH,1.4661354581673305,1.5270270270270268
18114,10711,19768,CC(=O)[C@H](C[N+]([O-])=O)C1CCCCC1,27.3,0.5,0.05,10.1002/anie.201107473,ASH,1.36996336996337,1.469767441860465
18115,10711,19769,CC(=O)[C@@H](C[N+]([O-])=O)C1CCCCC1,37.4,0.5,0.05,10.1002/anie.201107473,ASH,1.36996336996337,1.469767441860465
18198,10759,19858,CCCC[C@@H](C[N+]([O-])=O)C(C)=O,25.9,0.5,0.05,10.1002/anie.201107473,ASH,1.4710424710424712,1.6069651741293536
18199,10759,19859,CCCC[C@H](C[N+]([O-])=O)C(C)=O,38.1,0.5,0.05,10.1002/anie.201107473,ASH,1.4710424710424712,1.6069651741293536
18254,10798,19925,OC[C@@]1(CC=C)N[S](=O)(=O)c2ccccc12,27.1,1.0,0.15,10.1002/chem.201704760,ASH,1.4280442804428044,1.4793388429752066
18255,10798,19926,OC[C@]1(CC=C)N[S](=O)(=O)c2ccccc12,38.7,1.0,0.15,10.1002/chem.201704760,ASH,1.4280442804428044,1.4793388429752066
18570,10998,20283,C[C](C[C@H](c1ccccc1)c2ccc3OCOc3c2)=[C]4C(=O)O[C](C)(C)OC4=O,30.7,1.0,0.05,10.1039/C8CC00493E,ASH,1.3127035830618892,1.345323741007194
18571,10998,20284,C[C](C[C@@H](c1ccccc1)c2ccc3OCOc3c2)=[C]4C(=O)O[C](C)(C)OC4=O,40.3,1.0,0.05,10.1039/C8CC00493E,ASH,1.3127035830618892,1.345323741007194
18598,11013,20312,Cc1ccc(C[C@H]2CC(=O)N(Cc3ccccc3)C2=O)cc1,35.4,0.5,0.1,10.1002/anie.201209126,ASH,1.1468926553672316,1.175675675675676
18599,11013,20313,Cc1ccc(C[C@@H]2CC(=O)N(Cc3ccccc3)C2=O)cc1,40.6,0.5,0.1,10.1002/anie.201209126,ASH,1.1468926553672316,1.175675675675676
18756,11117,20495,O[C@H](C(O)=O)c1occc1,40.12,0.8,0.03,10.1002/adsc.201700846,ASH,1.0687936191425724,1.0756267981915333
18757,11117,20496,O[C@@H](C(O)=O)c1occc1,42.88,0.8,0.03,10.1002/adsc.201700846,ASH,1.0687936191425724,1.0756267981915333
18812,11152,20559,CSC1=NC(=O)C[C@H](C)N1c2ccccc2,43.6,0.5,0.3,10.1039/D0QO01380C,ASH,1.8440366972477065,1.9735449735449733
18813,11152,20558,CSC1=NC(=O)C[C@@H](C)N1c2ccccc2,80.4,0.5,0.3,10.1039/D0QO01380C,ASH,1.8440366972477065,1.9735449735449733
18826,11162,20576,COc1ccc(cc1)[C@@]2(N[S](=O)(=O)c3ccccc23)c4ccccc4,44.0,0.8,0.3,10.1002/anie.201302861,ASH,1.0863636363636362,1.0941176470588234
18827,11162,20575,COc1ccc(cc1)[C@]2(N[S](=O)(=O)c3ccccc23)c4ccccc4,47.8,0.8,0.3,10.1002/anie.201302861,ASH,1.0863636363636362,1.0941176470588234
