Unnamed: 0,index,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column
22066,12019,C[C@@H]1C=C[C@H](COC(C)=O)N(N1C(=O)Nc2ccc(Cl)cc2)C(=O)OC(C)(C)C,24.3,1.0,0.1,10.1021/ol503047s,IAH
22106,12042,O=C(O[C@H]1C[C@@H](C2=CC=CC(C(F)(F)F)=C2)N3C4=C1C=CC=C4CC[C@@H]3C5=CC=CC=C5)NCC6=CC=CC=C6,4.69,1.0,0.3,10.1021/ol1006086,IAH
22276,12139,CCCCCCCCC[C@H]1C=CCN(N1C(=O)OC(C)(C)C)C(=O)Nc2ccc(Cl)cc2,11.4,1.0,0.1,10.1021/ol503047s,IAH
22277,12139,CCCCCCCCC[C@@H]1C=CCN(N1C(=O)OC(C)(C)C)C(=O)Nc2ccc(Cl)cc2,6.7,1.0,0.1,10.1021/ol503047s,IAH
22320,12163,O=C(N[C@H]1C[C@H](N2[C@H](CCc3cccc1c23)c4ccccc4)c5occc5)OCc6ccccc6,5.59,1.0,0.3,10.1021/ol1006086,IAH
22694,12381,C[C@@H]1C=C[C@H](CN(Cc2ccccc2)C(C)=O)N(N1C(=O)OC(C)(C)C)C(=O)Nc3ccc(Cl)cc3,5.2,1.0,0.3,10.1021/ja3110472,IAH
22807,12445,O=C(O[C@H]1C[C@@H](C2=CC=CC(Cl)=C2)N3C4=C1C=CC=C4CC[C@@H]3C5=CC=CC=C5)NCC6=CC=CC=C6,5.3,1.0,0.3,10.1021/ol1006086,IAH
22919,12507,O=C(O[C@H]1C[C@@H](C2=CC=CC(OC)=C2)N3C4=C1C=CC=C4CC[C@@H]3C5=CC=CC=C5)NCC6=CC=CC=C6,6.73,1.0,0.3,10.1021/ol1006086,IAH
23025,12565,CC1=C[C@H](CO[Si](C)(C)C(C)(C)C)N(N(C1)C(=O)Nc2ccc(Cl)cc2)C(=O)OC(C)(C)C,10.2,1.0,0.1,10.1021/ol503047s,IAH
23026,12565,CC1=C[C@@H](CO[Si](C)(C)C(C)(C)C)N(N(C1)C(=O)Nc2ccc(Cl)cc2)C(=O)OC(C)(C)C,7.4,1.0,0.1,10.1021/ol503047s,IAH
23877,13047,O=C(O[C@H]1C[C@@H](C2=CC=C(Br)C=C2)N3C4=C1C=CC=C4CC[C@@H]3C5=CC=CC=C5)NCC6=CC=CC=C6,5.96,1.0,0.3,10.1021/ol1006086,IAH
24003,13117,C[C@@H]1N(N[C@H](CCOC(C)=O)C=C1C)C(=O)Nc2ccc(Cl)cc2,5.3,1.0,0.1,10.1021/ja3110472,IAH
24355,13309,CC1=C[C@H](CCO[Si](C)(C)C(C)(C)C)N(N(C1)C(=O)Nc2ccc(Cl)cc2)C(=O)OC(C)(C)C,9.6,1.0,0.06,10.1021/ol503047s,IAH
24356,13309,CC1=C[C@@H](CCO[Si](C)(C)C(C)(C)C)N(N(C1)C(=O)Nc2ccc(Cl)cc2)C(=O)OC(C)(C)C,8.6,1.0,0.06,10.1021/ol503047s,IAH
24420,13346,C[C@@H]1C=C[C@H](CO[Si](C)(C)C(C)(C)C)N(N1C(=O)OC(C)(C)C)C(=O)Nc2ccc(Cl)cc2,3.9,1.0,0.1,10.1021/ja3110472,IAH
24491,13385,O=C(O[C@H]1C[C@@H](C2=CC=C(Br)C=C2)N3C4=C1C=CC=C4CC[C@@H]3C5=CC=C(F)C=C5)NCC6=CC=CC=C6,6.08,1.0,0.3,10.1021/ol1006086,IAH
25027,13683,O=C(O[C@H]1C[C@@H](C2=CC=C(Br)C=C2)N3C4=C1C=CC=C4CC[C@@H]3C5=CC=C6C=CC=CC6=C5)NCC7=CC=CC=C7,6.85,1.0,0.3,10.1021/ol1006086,IAH
25120,13735,CC1=C(C)[C@@H](O)[C@H]2[C@@H]([C@H]1O)[C@H](CC3=C2c4ccccc4[Si](C)(C)O3)c5ccccc5,6.61,1.0,0.05,10.1021/ja3007148,IAH
