Unnamed: 0,index,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column
18418,9942,O=[S]1(=O)N[C@@H](c2ccc(cc2)c3ccccc3)c4ccccc4O1,29.7,1.0,0.1,10.1039/C6CC08759K,IC3
18419,9943,CN1[C@H](CC(C)(C)C1=O)c2ccccc2,27.7,0.6,0.15,10.1021/acs.orglett.7b00651,IC3
18420,9943,CN1[C@@H](CC(C)(C)C1=O)c2ccccc2,29.7,0.6,0.15,10.1021/acs.orglett.7b00651,IC3
18541,10010,COc1ccccc1[C@@H]2CN(CCO2)C(=O)OCc3ccccc3,24.4,0.5,0.1,10.1039/D1SC04288B,IC3
18542,10010,COc1ccccc1[C@H]2CN(CCO2)C(=O)OCc3ccccc3,30.0,0.5,0.1,10.1039/D1SC04288B,IC3
18564,10024,Brc1ccc(cc1)[C@H]2N[S](=O)(=O)Oc3ccccc23,17.5,1.0,0.1,10.1039/C6CC08759K,IC3
18565,10024,Brc1ccc(cc1)[C@@H]2N[S](=O)(=O)Oc3ccccc23,30.1,1.0,0.1,10.1039/C6CC08759K,IC3
18579,10032,CC(=O)N[C@@H](CO)Cc1ccc2ccccc2c1,46.6,0.8,0.1,10.1002/anie.201905263,IC3
18580,10032,CC(=O)N[C@H](CO)Cc1ccc2ccccc2c1,30.1,0.8,0.1,10.1002/anie.201905263,IC3
18581,10033,CC(=O)N[C@H](Cc1ccc2ccccc2c1)C=O,46.6,0.8,0.1,10.1002/anie.201905263,IC3
18582,10033,CC(=O)N[C@@H](Cc1ccc2ccccc2c1)C=O,30.1,0.8,0.1,10.1002/anie.201905263,IC3
18586,10036,C[C@@H](\C=C\c1ccccc1)[S](=O)(=O)Cc2ccccc2,26.62,1.0,0.2,10.1002/anie.202012485,IC3
18587,10036,C[C@H](\C=C\c1ccccc1)[S](=O)(=O)Cc2ccccc2,30.14,1.0,0.2,10.1002/anie.202012485,IC3
18655,10077,CC(=O)N[C@H](Cc1cccc2ccccc12)C=O,62.6,0.8,0.1,10.1002/anie.201905263,IC3
18656,10077,CC(=O)N[C@@H](Cc1cccc2ccccc12)C=O,30.4,0.8,0.1,10.1002/anie.201905263,IC3
18674,10088,COC(=O)CNC(=O)[C@@H](N=C(c1ccccc1)c2ccccc2)[C@H](C=C)c3ccccc3,32.4,1.0,0.05,10.1021/jacs.8b00187,IC3
18675,10089,COC(=O)CNC(=O)[C@@H](N=C(c1ccccc1)c2ccccc2)[C@H](C=C)c3ccccc3,32.4,1.0,0.05,10.1021/jacs.8b00187,IC3
18713,10111,CC(=C)[C@@]1(CCCc2ccccc2)CC(=NN1[S](=O)(=O)c3ccc(C)cc3)c4ccccc4,26.8,0.8,0.25,10.1021/jacs.8b02865,IC3
18714,10111,CC(=C)[C@]1(CCCc2ccccc2)CC(=NN1[S](=O)(=O)c3ccc(C)cc3)c4ccccc4,30.7,0.8,0.25,10.1021/jacs.8b02865,IC3
18770,10143,CC(=C)[C@@]1(C)CC(=NN1[S](=O)(=O)c2ccc(C)cc2)c3cccc(Br)c3,28.1,0.8,0.25,10.1021/jacs.8b02865,IC3
18771,10143,CC(=C)[C@]1(C)CC(=NN1[S](=O)(=O)c2ccc(C)cc2)c3cccc(Br)c3,30.9,0.8,0.25,10.1021/jacs.8b02865,IC3
18810,10164,CC(=O)N(CC[C@H](O)c1ccc(C)cc1C)Cc2ccccc2,31.0,1.0,0.1,10.1002/adsc.201500653,IC3
18835,10178,CC(C)(C)OC(=O)[C@@H](N)[C@H](C=C)c1ccc(F)cc1,37.6,0.8,0.015,10.1002/adsc.201801148,IC3
18836,10179,CC(C)(C)OC(=O)[C@@H](N)[C@H](C=C)c1ccc(F)cc1,37.6,0.8,0.015,10.1002/adsc.201801148,IC3
18853,10189,CN1[C@H](CC(C)(C)C1=O)c2ccccc2,29.6,0.6,0.15,10.1021/acs.orglett.7b00171,IC3
18854,10189,CN1[C@@H](CC(C)(C)C1=O)c2ccccc2,31.2,0.6,0.15,10.1021/acs.orglett.7b00171,IC3
18861,10193,C[C@@H](\C=C\c1ccc2ccccc2c1)[S](=O)(=O)c3ccc(C)cc3,43.79,1.0,0.2,10.1002/anie.202012485,IC3
18862,10193,C[C@H](\C=C\c1ccc2ccccc2c1)[S](=O)(=O)c3ccc(C)cc3,31.26,1.0,0.2,10.1002/anie.202012485,IC3
18999,10275,CCOC(=O)CNC(=O)[C@@H](N=C(c1ccccc1)c2ccccc2)[C@@H](C=C)c3ccccc3,41.3,1.0,0.05,10.1021/jacs.8b00187,IC3
19000,10276,COC(=O)CNC(=O)[C@@H](N=C(c1ccccc1)c2ccccc2)[C@@H](C=C)c3ccccc3,41.3,1.0,0.1,10.1021/jacs.8b00187,IC3
19001,10277,CC[C@@]1(CC(=NN1[S](=O)(=O)c2ccc(C)cc2)c3ccccc3)C(C)=C,44.5,0.8,0.25,10.1021/jacs.8b02865,IC3
